2.096	2.082	14.780	2.765	0.000
2.856	-7.982	18.509	4.286	1.000
1.481	19.044	19.941	2.210	0.000
3.059	-2.262	25.982	5.180	1.000
-0.315	-2.156	10.614	0.080	1.000
1.009	15.508	6.146	0.229	0.000
1.052	15.918	16.388	1.477	0.000
1.667	5.839	3.833	0.918	0.000
1.128	-15.329	12.563	2.156	1.000
-1.052	9.248	0.701	-2.202	0.000
-0.957	1.715	17.158	0.108	1.000
-1.808	-32.608	3.267	-1.208	1.000
0.458	-13.166	13.636	1.562	1.000
-2.359	-29.120	15.777	-0.367	1.000
-1.395	-17.915	15.068	0.101	1.000
-0.164	6.867	-5.085	-1.951	0.000
1.107	15.756	16.556	1.556	0.000
-2.127	13.310	6.130	-2.732	0.000
-0.666	9.107	0.388	-1.861	0.000
-0.449	6.656	-0.052	-1.620	0.000
1.346	-6.793	16.148	2.504	1.000
-1.796	-20.002	14.157	-0.325	1.000
-0.454	12.875	26.127	1.285	1.000
-1.584	9.558	1.638	-2.615	0.000
1.125	21.668	19.117	1.678	0.000
-1.031	11.743	5.722	-1.667	0.000
0.490	14.614	17.679	1.132	0.000
-1.253	-16.531	9.782	-0.439	1.000
0.993	-11.090	9.430	1.507	1.000
-0.675	7.832	0.254	-1.842	0.000
0.910	-12.645	9.260	1.459	1.000
-0.605	10.119	1.500	-1.703	0.000
-0.248	14.273	-3.477	-2.092	0.000
-1.197	14.144	3.647	-2.157	0.000
-1.621	14.042	12.933	-1.457	0.000
1.658	8.801	9.014	1.427	0.000
-3.468	-49.313	13.983	-0.970	1.000
2.896	-15.637	16.634	4.362	1.000
-1.003	2.511	26.928	1.200	1.000
0.858	-18.068	4.616	1.039	1.000
2.313	-6.382	16.066	3.416	1.000
0.284	20.138	19.316	0.941	0.000
-1.563	-23.693	12.786	-0.138	1.000
0.535	7.379	-9.033	-1.763	0.000
0.874	-18.254	11.716	1.908	1.000
0.914	12.097	23.828	2.361	0.000
-1.297	-16.835	12.635	-0.132	1.000
-1.029	12.328	2.762	-2.038	0.000
1.051	-9.268	8.132	1.347	1.000
1.342	9.640	9.775	1.183	0.000
-0.109	-17.068	5.502	0.175	1.000
1.035	30.018	20.908	1.522	0.000
0.835	-7.899	10.938	1.426	1.000
0.136	12.676	11.332	0.099	1.000
0.175	-14.190	3.480	0.112	1.000
1.236	-16.455	14.833	2.568	1.000
1.748	21.147	9.685	1.175	0.000
1.272	8.617	17.288	2.046	0.000
1.460	12.929	8.912	1.083	0.000
1.676	21.134	9.464	1.079	0.000
-0.155	1.272	13.452	0.457	1.000
-2.123	14.896	11.514	-2.141	0.000
-0.241	7.403	-6.968	-2.268	0.000
-1.822	-19.904	24.113	0.833	1.000
1.739	15.134	10.698	1.491	0.000
1.939	-5.412	17.438	3.185	1.000
0.385	-15.711	10.145	1.161	1.000
-1.273	-10.043	24.733	1.104	1.000
-2.187	-29.381	20.008	0.312	1.000
0.211	-15.333	8.280	0.758	1.000
0.505	20.696	15.727	0.708	0.000
1.178	-13.908	8.250	1.641	1.000
1.742	-24.665	12.418	3.049	1.000
-0.918	6.496	-7.329	-2.936	0.000
2.443	-4.774	18.368	3.762	1.000
-0.049	11.597	14.772	0.366	1.000
-0.346	8.081	-0.479	-1.619	0.000
1.250	0.247	22.371	2.914	0.000
2.602	-4.074	18.773	3.940	1.000
0.323	4.165	20.080	1.611	0.000
1.596	-7.848	14.727	2.613	1.000
-0.232	2.177	10.514	0.001	1.000
-2.869	14.978	12.679	-2.727	0.000
-0.272	9.639	2.790	-1.212	0.000
0.287	-13.077	9.158	0.860	1.000
0.971	-13.563	14.442	2.167	1.000
0.312	12.719	18.742	1.151	0.000
-1.563	-21.230	9.849	-0.572	1.000
-2.575	16.740	4.539	-3.471	0.000
-2.229	-24.708	19.798	0.088	1.000
3.074	6.940	13.922	3.444	0.000
-0.484	8.828	-5.365	-2.361	0.000
1.984	2.931	11.296	2.213	0.000
-2.117	-31.589	12.852	-0.399	1.000
-1.215	6.757	2.674	-2.040	0.000
-1.697	-18.914	15.676	-0.085	1.000
-1.333	-17.932	14.663	0.113	1.000
-0.064	-8.318	8.862	0.323	1.000
0.776	-14.672	12.474	1.781	1.000
-0.796	0.516	17.900	0.392	1.000
-2.353	18.372	7.780	-2.926	0.000
1.178	-2.545	19.089	2.548	1.000
-1.052	-7.197	18.860	0.521	1.000
-0.063	-17.001	7.999	0.515	1.000
0.542	20.270	13.443	0.485	0.000
-2.265	13.516	12.402	-2.125	0.000
-1.836	-17.231	22.919	0.586	1.000
1.269	-12.934	16.378	2.665	1.000
